Peak Name: Itraconazole-d9
Use as Internal Standard
Q1/Q3 Masses: 714.40/401.60 Da

Peak Name: Itraconazole
Internal Standard: Itraconazole-d9
Q1/Q3 Masses: 705.20/392.30 Da

Fit	Linear	Weighting	None	Iterate	No
Intercept	-0.0113
Slope	0.000257
Correlation coefficient	0.9994
Use Area



Sample Name	Sample ID	Filetype	Sample Desc.	Set Number	Acquisition Method	Date Of Acq.	Rack Type	Rack Number	Vial Position	Plate Type	Plate Number	Filename	Dil.Factor	Weight To Volume Ratio	Sample Annotation	Sample Annotation	Peak Name	Units	Area	Analyte Peak Height for DAD	Height	Analyte Annotation	Conc.	R.T.	Expected RT	RT Window	Centroid Location	Start Scan	Start Time	End Scan	End Time	Integ.Type	S/N	Peak Width	Standard Query Status	Analyte Mass Range	Analyte Peak Area for DAD	Analyte/IS Area	Analyte/IS Height	Analyte Wavelength Ranges	Analyte UV Range	Analyte Peak Width at 50% Height	Analyte Slope of Baseline	Analyte Processing Alg.	Analyte Peak Asymmetry	Analyte Peak Asymmetry	IS Peak Name	IS Units	IS Area	IS Peak Area for DAD	IS Height	IS Peak Height for DAD	IS Conc.	IS R.T.	IS Expected RT	IS RT Window	IS Centroid Location	IS Start Scan	IS Start Time	IS Stop Scan	IS End Time	IS Integ.Type	IS S/N	IS Peak Width	IS Mass Range	IS Wavelength Ranges	IS UV Range	IS Peak Width at 50% Height	IS Slope of Baseline	IS Processing Alg.	IS Peak Asymmetry	IS Peak Asymmetry	Use Record	Record Modified	Calc.Conc.	Calculated Concentration for DAD	Rel.R.T.	Accuracy	Resp.Factor	
30 029 996183-1 AP MQC 6 1	29	Quality Control	none	0	996183-1 S12 2022-09-22 A1B1C1.dam	22-Sep-2022 21:55:36	Sample Manager w/ SO	1	48	Roundwell	4	Run 30\996183-S12-30-029.wiff	1.0	0.00			Itraconazole	ng/mL	7598.5	N/A	4.09e+003	N/A	300.	1.56	1.56	5.00	1.57	437	1.53	460	1.61	Base To Base	N/A	0.0806	N/A	705.200/392.300 Da	N/A	6.08e-002	6.05e-002		N/A	0.0302	3.23e+001	Specify Parameters - MQIII	1.31	0.970	Itraconazole-d9	ng/mL	125028.0	N/A	6.77e+004	N/A	1.00	1.55	1.56	5.00	1.55	432	1.51	461	1.61	Base To Base	N/A	0.102	714.400/401.600 Da	N/A	N/A	2.86e-002	1.35e+001	Specify Parameters - MQIII	1.49	0.988	1	0	281.	N/A	1.01	93.6	0.000203	
30 030 996183-1 AP HQC 1 1	30	Quality Control	none	0	996183-1 S12 2022-09-22 A1B1C1.dam	22-Sep-2022 22:01:36	Sample Manager w/ SO	1	49	Roundwell	4	Run 30\996183-S12-30-030.wiff	1.0	0.00			Itraconazole	ng/mL	139627.2	N/A	7.72e+004	N/A	4000.	1.57	1.56	5.00	1.57	437	1.53	467	1.63	Base To Base	N/A	0.105	N/A	705.200/392.300 Da	N/A	1.02e+000	9.89e-001		N/A	0.0284	9.82e+000	Specify Parameters - MQIII	1.76	0.994	Itraconazole-d9	ng/mL	137285.4	N/A	7.80e+004	N/A	1.00	1.55	1.56	5.00	1.56	433	1.51	462	1.62	Base To Base	N/A	0.102	714.400/401.600 Da	N/A	N/A	2.76e-002	1.08e+001	Specify Parameters - MQIII	1.58	0.992	1	0	4000.	N/A	1.01	100.1	0.000254	
30 031 996183-1 AP HQC 2 1	31	Quality Control	none	0	996183-1 S12 2022-09-22 A1B1C1.dam	22-Sep-2022 22:07:38	Sample Manager w/ SO	1	50	Roundwell	4	Run 30\996183-S12-30-031.wiff	1.0	0.00			Itraconazole	ng/mL	145756.3	N/A	7.61e+004	N/A	4000.	1.56	1.56	5.00	1.57	434	1.52	478	1.67	Base To Base	N/A	0.154	N/A	705.200/392.300 Da	N/A	1.00e+000	9.60e-001		N/A	0.0298	2.61e+000	Specify Parameters - MQIII	2.28	1.00	Itraconazole-d9	ng/mL	145104.3	N/A	7.93e+004	N/A	1.00	1.55	1.56	5.00	1.56	433	1.51	461	1.61	Base To Base	N/A	0.0981	714.400/401.600 Da	N/A	N/A	2.84e-002	1.23e+001	Specify Parameters - MQIII	1.47	0.990	1	0	3960.	N/A	1.01	98.9	0.000251	
30 032 996183-1 AP HQC 3 1	32	Quality Control	none	0	996183-1 S12 2022-09-22 A1B1C1.dam	22-Sep-2022 22:13:39	Sample Manager w/ SO	1	51	Roundwell	4	Run 30\996183-S12-30-032.wiff	1.0	0.00			Itraconazole	ng/mL	130559.6	N/A	7.00e+004	N/A	4000.	1.56	1.56	5.00	1.57	436	1.52	471	1.65	Base To Base	N/A	0.123	N/A	705.200/392.300 Da	N/A	9.82e-001	9.74e-001		N/A	0.0291	5.83e+000	Specify Parameters - MQIII	2.05	1.00	Itraconazole-d9	ng/mL	132930.5	N/A	7.19e+004	N/A	1.00	1.55	1.56	5.00	1.56	433	1.51	464	1.62	Base To Base	N/A	0.109	714.400/401.600 Da	N/A	N/A	2.91e-002	1.03e+001	Specify Parameters - MQIII	1.91	0.994	1	0	3870.	N/A	1.01	96.7	0.000246	
30 033 996183-1 AP HQC 4 1	33	Quality Control	none	0	996183-1 S12 2022-09-22 A1B1C1.dam	22-Sep-2022 22:19:40	Sample Manager w/ SO	1	52	Roundwell	4	Run 30\996183-S12-30-033.wiff	1.0	0.00			Itraconazole	ng/mL	133411.1	N/A	7.33e+004	N/A	4000.	1.57	1.56	5.00	1.57	437	1.53	467	1.63	Base To Base	N/A	0.105	N/A	705.200/392.300 Da	N/A	9.93e-001	9.63e-001		N/A	0.0286	1.12e+001	Specify Parameters - MQIII	1.75	0.994	Itraconazole-d9	ng/mL	134289.1	N/A	7.61e+004	N/A	1.00	1.55	1.56	5.00	1.56	433	1.51	465	1.63	Base To Base	N/A	0.112	714.400/401.600 Da	N/A	N/A	2.75e-002	8.32e+000	Specify Parameters - MQIII	1.81	0.998	1	0	3910.	N/A	1.01	97.8	0.000248	
30 034 996183-1 AP HQC 5 1	34	Quality Control	none	0	996183-1 S12 2022-09-22 A1B1C1.dam	22-Sep-2022 22:25:41	Sample Manager w/ SO	1	53	Roundwell	4	Run 30\996183-S12-30-034.wiff	1.0	0.00			Itraconazole	ng/mL	140505.1	N/A	7.71e+004	N/A	4000.	1.56	1.56	5.00	1.57	436	1.52	467	1.63	Base To Base	N/A	0.109	N/A	705.200/392.300 Da	N/A	1.03e+000	1.02e+000		N/A	0.0287	8.64e+000	Specify Parameters - MQIII	1.75	0.998	Itraconazole-d9	ng/mL	136947.7	N/A	7.59e+004	N/A	1.00	1.55	1.56	5.00	1.56	433	1.51	464	1.62	Base To Base	N/A	0.109	714.400/401.600 Da	N/A	N/A	2.79e-002	8.41e+000	Specify Parameters - MQIII	1.76	0.998	1	0	4040.	N/A	1.01	101.0	0.000256	
30 035 996183-1 AP HQC 6 1	35	Quality Control	none	0	996183-1 S12 2022-09-22 A1B1C1.dam	22-Sep-2022 22:31:42	Sample Manager w/ SO	1	54	Roundwell	4	Run 30\996183-S12-30-035.wiff	1.0	0.00			Itraconazole	ng/mL	139047.1	N/A	7.39e+004	N/A	4000.	1.57	1.56	5.00	1.57	435	1.52	484	1.69	Base To Base	N/A	0.172	N/A	705.200/392.300 Da	N/A	1.02e+000	9.51e-001		N/A	0.0293	1.29e+000	Specify Parameters - MQIII	2.84	1.00	Itraconazole-d9	ng/mL	135824.4	N/A	7.77e+004	N/A	1.00	1.55	1.56	5.00	1.56	434	1.52	463	1.62	Base To Base	N/A	0.102	714.400/401.600 Da	N/A	N/A	2.75e-002	1.11e+001	Specify Parameters - MQIII	1.85	0.992	1	0	4030.	N/A	1.01	100.8	0.000256	
30 036 996183-1 Blank 1	36	Unknown	none	0	996183-1 S12 2022-09-22 A1B1C1.dam	22-Sep-2022 22:37:43	Sample Manager w/ SO	1	95	Roundwell	4	Run 30\996183-S12-30-036.wiff	1.0	0.00			Itraconazole	ng/mL	53.6	N/A	3.04e+001	N/A	N/A	1.57	1.57	5.00	1.58	443	1.55	463	1.62	Base To Base	N/A	0.0701	N/A	705.200/392.300 Da	N/A	#DIV/0!	#DIV/0!		N/A	0.0425	1.56e+002	Specify Parameters - MQIII	1.67	0.889	Itraconazole-d9	ng/mL	0.0	N/A	0.00e+000	N/A	1.00	0.00	1.56	5.00	0.00	0	0.00	0	0.00	No Peak	N/A	0.00	714.400/401.600 Da	N/A	N/A	0.00e+000	0.00e+000	Specify Parameters - MQIII	0.00	0.00		0	#DIV/0!	N/A	0.00	N/A	N/A	
30 037 996183-1 Blank 1	37	Unknown	none	0	996183-1 S12 2022-09-22 A1B1C1.dam	22-Sep-2022 22:43:43	Sample Manager w/ SO	1	96	Roundwell	4	Run 30\996183-S12-30-037.wiff	1.0	0.00			Itraconazole	ng/mL	0.0	N/A	0.00e+000	N/A	N/A	0.00	1.57	5.00	0.00	0	0.00	0	0.00	No Peak	N/A	0.00	N/A	705.200/392.300 Da	N/A	#DIV/0!	#DIV/0!		N/A	0.00	0.00e+000	Specify Parameters - MQIII	0.00	0.00	Itraconazole-d9	ng/mL	0.0	N/A	0.00e+000	N/A	1.00	0.00	1.56	5.00	0.00	0	0.00	0	0.00	No Peak	N/A	0.00	714.400/401.600 Da	N/A	N/A	0.00e+000	0.00e+000	Specify Parameters - MQIII	0.00	0.00		0	#DIV/0!	N/A	0.00	N/A	N/A	
30 038 996183-1 Double Blank 1	38	Unknown	none	0	996183-1 S12 2022-09-22 A1B1C1.dam	22-Sep-2022 22:49:45	Sample Manager w/ SO	1	13	Roundwell	4	Run 30\996183-S12-30-038.wiff	1.0	0.00			Itraconazole	ng/mL	0.0	N/A	0.00e+000	N/A	N/A	0.00	1.57	5.00	0.00	0	0.00	0	0.00	No Peak	N/A	0.00	N/A	705.200/392.300 Da	N/A	#DIV/0!	#DIV/0!		N/A	0.00	0.00e+000	Specify Parameters - MQIII	0.00	0.00	Itraconazole-d9	ng/mL	0.0	N/A	0.00e+000	N/A	1.00	0.00	1.56	5.00	0.00	0	0.00	0	0.00	No Peak	N/A	0.00	714.400/401.600 Da	N/A	N/A	0.00e+000	0.00e+000	Specify Parameters - MQIII	0.00	0.00		0	#DIV/0!	N/A	0.00	N/A	N/A	
30 039 996183-1 Single Blank 1	39	Unknown	none	0	996183-1 S12 2022-09-22 A1B1C1.dam	22-Sep-2022 22:55:48	Sample Manager w/ SO	1	14	Roundwell	4	Run 30\996183-S12-30-039.wiff	1.0	0.00			Itraconazole	ng/mL	0.0	N/A	0.00e+000	N/A	N/A	0.00	1.56	5.00	0.00	0	0.00	0	0.00	No Peak	N/A	0.00	N/A	705.200/392.300 Da	N/A	0.00e+000	0.00e+000		N/A	0.00	0.00e+000	Specify Parameters - MQIII	0.00	0.00	Itraconazole-d9	ng/mL	119297.2	N/A	6.42e+004	N/A	1.00	1.55	1.56	5.00	1.55	432	1.51	460	1.61	Base To Base	N/A	0.0981	714.400/401.600 Da	N/A	N/A	2.94e-002	1.49e+001	Specify Parameters - MQIII	1.41	0.987		0	No Peak	N/A	0.00	N/A	N/A	
30 040 996183-1 J 2 1	40	Standard	none	0	996183-1 S12 2022-09-22 A1B1C1.dam	22-Sep-2022 23:01:51	Sample Manager w/ SO	1	15	Roundwell	4	Run 30\996183-S12-30-040.wiff	1.0	0.00			Itraconazole	ng/mL	90.0	N/A	9.01e+001	N/A	5.00	1.56	1.56	5.00	1.56	439	1.53	457	1.60	Base To Base	N/A	0.0630	N/A	705.200/392.300 Da	N/A	6.33e-004	1.18e-003		N/A	0.0121	5.86e+001	Specify Parameters - MQIII	1.74	0.813	Itraconazole-d9	ng/mL	142271.1	N/A	7.65e+004	N/A	1.00	1.55	1.56	5.00	1.55	432	1.51	462	1.62	Base To Base	N/A	0.105	714.400/401.600 Da	N/A	N/A	2.90e-002	1.12e+001	Specify Parameters - MQIII	1.61	0.997	1	0	46.5	N/A	1.00	930.8	0.000127	
30 041 996183-1 I 2 1	41	Standard	none	0	996183-1 S12 2022-09-22 A1B1C1.dam	22-Sep-2022 23:07:53	Sample Manager w/ SO	1	16	Roundwell	4	Run 30\996183-S12-30-041.wiff	1.0	0.00			Itraconazole	ng/mL	193.7	N/A	1.57e+002	N/A	10.0	1.57	1.56	5.00	1.57	438	1.53	454	1.59	Base To Base	N/A	0.0560	N/A	705.200/392.300 Da	N/A	1.59e-003	2.37e-003		N/A	0.0191	1.90e+002	Specify Parameters - MQIII	0.621	0.830	Itraconazole-d9	ng/mL	121830.8	N/A	6.63e+004	N/A	1.00	1.55	1.56	5.00	1.56	433	1.51	467	1.63	Base To Base	N/A	0.119	714.400/401.600 Da	N/A	N/A	2.88e-002	6.92e+000	Specify Parameters - MQIII	2.06	1.00	1	0	50.3	N/A	1.01	502.7	0.000159	
30 042 996183-1 H 2 1	42	Standard	none	0	996183-1 S12 2022-09-22 A1B1C1.dam	22-Sep-2022 23:13:54	Sample Manager w/ SO	1	17	Roundwell	4	Run 30\996183-S12-30-042.wiff	1.0	0.00			Itraconazole	ng/mL	1139.2	N/A	5.92e+002	N/A	50.0	1.56	1.56	5.00	1.57	437	1.53	461	1.61	Base To Base	N/A	0.0841	N/A	705.200/392.300 Da	N/A	9.39e-003	8.86e-003		N/A	0.0299	0.00e+000	Specify Parameters - MQIII	1.44	1.00	Itraconazole-d9	ng/mL	121367.4	N/A	6.68e+004	N/A	1.00	1.55	1.56	5.00	1.55	433	1.51	461	1.61	Base To Base	N/A	0.0981	714.400/401.600 Da	N/A	N/A	2.83e-002	1.38e+001	Specify Parameters - MQIII	1.62	0.987	1	0	80.6	N/A	1.01	161.2	0.000188	
30 043 996183-1 G 2 1	43	Standard	none	0	996183-1 S12 2022-09-22 A1B1C1.dam	22-Sep-2022 23:19:56	Sample Manager w/ SO	1	18	Roundwell	4	Run 30\996183-S12-30-043.wiff	1.0	0.00			Itraconazole	ng/mL	2524.9	N/A	1.42e+003	N/A	100.	1.56	1.56	5.00	1.57	437	1.53	459	1.60	Base To Base	N/A	0.0771	N/A	705.200/392.300 Da	N/A	2.02e-002	2.09e-002		N/A	0.0290	2.75e+001	Specify Parameters - MQIII	1.33	0.981	Itraconazole-d9	ng/mL	125252.7	N/A	6.78e+004	N/A	1.00	1.55	1.56	5.00	1.55	433	1.51	460	1.61	Base To Base	N/A	0.0946	714.400/401.600 Da	N/A	N/A	2.82e-002	1.44e+001	Specify Parameters - MQIII	1.51	0.987	1	0	123.	N/A	1.01	122.6	0.000202	
30 044 996183-1 F 2 1	44	Standard	none	0	996183-1 S12 2022-09-22 A1B1C1.dam	22-Sep-2022 23:25:57	Sample Manager w/ SO	1	19	Roundwell	4	Run 30\996183-S12-30-044.wiff	1.0	0.00			Itraconazole	ng/mL	12498.4	N/A	6.90e+003	N/A	500.	1.56	1.56	5.00	1.57	437	1.53	462	1.62	Base To Base	N/A	0.0876	N/A	705.200/392.300 Da	N/A	1.05e-001	1.11e-001		N/A	0.0288	1.65e+001	Specify Parameters - MQIII	1.37	0.984	Itraconazole-d9	ng/mL	118518.6	N/A	6.24e+004	N/A	1.00	1.55	1.56	5.00	1.56	433	1.51	465	1.63	Base To Base	N/A	0.112	714.400/401.600 Da	N/A	N/A	2.94e-002	9.87e+000	Specify Parameters - MQIII	1.88	0.999	1	0	455.	N/A	1.01	90.9	0.000211	
30 045 996183-1 E 2 1	45	Standard	none	0	996183-1 S12 2022-09-22 A1B1C1.dam	22-Sep-2022 23:31:59	Sample Manager w/ SO	1	20	Roundwell	4	Run 30\996183-S12-30-045.wiff	1.0	0.00			Itraconazole	ng/mL	28440.7	N/A	1.56e+004	N/A	1000.	1.56	1.56	5.00	1.57	437	1.53	464	1.62	Base To Base	N/A	0.0946	N/A	705.200/392.300 Da	N/A	2.19e-001	2.16e-001		N/A	0.0288	1.56e+001	Specify Parameters - MQIII	1.57	0.986	Itraconazole-d9	ng/mL	129853.5	N/A	7.23e+004	N/A	1.00	1.55	1.56	5.00	1.56	433	1.51	462	1.62	Base To Base	N/A	0.102	714.400/401.600 Da	N/A	N/A	2.79e-002	1.09e+001	Specify Parameters - MQIII	1.59	0.992	1	0	897.	N/A	1.01	89.7	0.000219	
30 046 996183-1 D 2 1	46	Standard	none	0	996183-1 S12 2022-09-22 A1B1C1.dam	22-Sep-2022 23:37:58	Sample Manager w/ SO	1	21	Roundwell	4	Run 30\996183-S12-30-046.wiff	1.0	0.00			Itraconazole	ng/mL	83153.4	N/A	4.52e+004	N/A	2500.	1.56	1.56	5.00	1.57	436	1.52	466	1.63	Base To Base	N/A	0.105	N/A	705.200/392.300 Da	N/A	6.23e-001	6.07e-001		N/A	0.0286	1.03e+001	Specify Parameters - MQIII	1.70	0.997	Itraconazole-d9	ng/mL	133409.2	N/A	7.44e+004	N/A	1.00	1.55	1.56	5.00	1.55	433	1.51	460	1.61	Base To Base	N/A	0.0946	714.400/401.600 Da	N/A	N/A	2.79e-002	1.21e+001	Specify Parameters - MQIII	1.44	0.991	1	0	2470.	N/A	1.01	98.8	0.000249	
30 047 996183-1 C 2 1	47	Standard	none	0	996183-1 S12 2022-09-22 A1B1C1.dam	22-Sep-2022 23:43:58	Sample Manager w/ SO	1	22	Roundwell	4	Run 30\996183-S12-30-047.wiff	1.0	0.00			Itraconazole	ng/mL	151783.3	N/A	8.47e+004	N/A	4500.	1.56	1.56	5.00	1.57	436	1.52	468	1.64	Base To Base	N/A	0.112	N/A	705.200/392.300 Da	N/A	1.16e+000	1.18e+000		N/A	0.0280	9.33e+000	Specify Parameters - MQIII	1.90	0.997	Itraconazole-d9	ng/mL	130446.0	N/A	7.19e+004	N/A	1.00	1.55	1.56	5.00	1.56	433	1.51	461	1.61	Base To Base	N/A	0.0981	714.400/401.600 Da	N/A	N/A	2.85e-002	1.25e+001	Specify Parameters - MQIII	1.59	0.989	1	0	4570.	N/A	1.01	101.7	0.000259	
30 048 996183-1 B 2 1	48	Standard	none	0	996183-1 S12 2022-09-22 A1B1C1.dam	22-Sep-2022 23:50:00	Sample Manager w/ SO	1	23	Roundwell	4	Run 30\996183-S12-30-048.wiff	1.0	0.00			Itraconazole	ng/mL	164550.4	N/A	8.67e+004	N/A	5000.	1.57	1.56	5.00	1.57	436	1.52	467	1.63	Base To Base	N/A	0.109	N/A	705.200/392.300 Da	N/A	1.31e+000	1.25e+000		N/A	0.0302	1.19e+001	Specify Parameters - MQIII	1.60	0.991	Itraconazole-d9	ng/mL	125395.9	N/A	6.92e+004	N/A	1.00	1.55	1.56	5.00	1.56	433	1.51	460	1.61	Base To Base	N/A	0.0946	714.400/401.600 Da	N/A	N/A	2.84e-002	1.34e+001	Specify Parameters - MQIII	1.51	0.989	1	0	5150.	N/A	1.01	103.1	0.000262	
30 049 996183-1 Blank 1	49	Unknown	none	0	996183-1 S12 2022-09-22 A1B1C1.dam	22-Sep-2022 23:56:01	Sample Manager w/ SO	1	91	Roundwell	4	Run 30\996183-S12-30-049.wiff	1.0	0.00			Itraconazole	ng/mL	44.8	N/A	3.71e+001	N/A	N/A	1.57	1.57	5.00	1.57	444	1.55	458	1.60	Base To Base	N/A	0.0490	N/A	705.200/392.300 Da	N/A	#DIV/0!	#DIV/0!		N/A	0.0169	0.00e+000	Specify Parameters - MQIII	2.74	0.660	Itraconazole-d9	ng/mL	0.0	N/A	0.00e+000	N/A	1.00	0.00	1.56	5.00	0.00	0	0.00	0	0.00	No Peak	N/A	0.00	714.400/401.600 Da	N/A	N/A	0.00e+000	0.00e+000	Specify Parameters - MQIII	0.00	0.00		0	#DIV/0!	N/A	0.00	N/A	N/A	
30 050 996183-1 Blank 1	50	Unknown	none	0	996183-1 S12 2022-09-22 A1B1C1.dam	23-Sep-2022 0:02:01	Sample Manager w/ SO	1	92	Roundwell	4	Run 30\996183-S12-30-050.wiff	1.0	0.00			Itraconazole	ng/mL	0.0	N/A	0.00e+000	N/A	N/A	0.00	1.57	5.00	0.00	0	0.00	0	0.00	No Peak	N/A	0.00	N/A	705.200/392.300 Da	N/A	#DIV/0!	#DIV/0!		N/A	0.00	0.00e+000	Specify Parameters - MQIII	0.00	0.00	Itraconazole-d9	ng/mL	0.0	N/A	0.00e+000	N/A	1.00	0.00	1.56	5.00	0.00	0	0.00	0	0.00	No Peak	N/A	0.00	714.400/401.600 Da	N/A	N/A	0.00e+000	0.00e+000	Specify Parameters - MQIII	0.00	0.00		0	#DIV/0!	N/A	0.00	N/A	N/A	
