Peak Name: Itraconazole-d9
Use as Internal Standard
Q1/Q3 Masses: 714.50/401.30 Da

Peak Name: Itraconazole
Internal Standard: Itraconazole-d9
Q1/Q3 Masses: 705.20/392.30 Da

Fit	Quadratic	Weighting	1  / (x * x)	Iterate	No
a0	0.00117
a1	0.0021
a2	9.2e-008
Correlation coefficient	0.9967
Use Area



Sample Name	Sample ID	Filetype	Sample Desc.	Set Number	Acquisition Method	Date Of Acq.	Rack Type	Rack Number	Vial Position	Plate Type	Plate Number	Filename	Dil.Factor	Weight To Volume Ratio	Sample Annotation	Sample Annotation	Peak Name	Units	Area	Analyte Peak Height for DAD	Height	Analyte Annotation	Conc.	R.T.	Expected RT	RT Window	Centroid Location	Start Scan	Start Time	End Scan	End Time	Integ.Type	S/N	Peak Width	Standard Query Status	Analyte Mass Range	Analyte Peak Area for DAD	Analyte/IS Area	Analyte/IS Height	Analyte Wavelength Ranges	Analyte UV Range	Analyte Peak Width at 50% Height	Analyte Slope of Baseline	Analyte Processing Alg.	Analyte Peak Asymmetry	IS Peak Name	IS Units	IS Area	IS Peak Area for DAD	IS Height	IS Peak Height for DAD	IS Conc.	IS R.T.	IS Expected RT	IS RT Window	IS Centroid Location	IS Start Scan	IS Start Time	IS Stop Scan	IS End Time	IS Integ.Type	IS S/N	IS Peak Width	IS Mass Range	IS Wavelength Ranges	IS UV Range	IS Peak Width at 50% Height	IS Slope of Baseline	IS Processing Alg.	IS Peak Asymmetry	Use Record	Record Modified	Calc.Conc.	Calculated Concentration for DAD	Rel.R.T.	Accuracy	Resp.Factor	Resp.Factor	Resp.Factor	
166 030 996183 HQC 1 1	30	Quality Control	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 6:57:17	Sample Manager w/ SO	1	49	Roundwell	5	Run 166\996183-S15-166-030.wiff	1.0	0.00			Itraconazole	ng/mL	44688.4	N/A	1.54e+004	N/A	4000.	1.77	1.78	10.0	1.76	473	1.65	554	1.94	Base To Base	N/A	0.284	N/A	705.200/392.300 Da	N/A	9.36e+000	9.11e+000		N/A	0.0463	7.65e-002	Specify Parameters - MQIII	1.43	Itraconazole-d9	ng/mL	4775.8	N/A	1.69e+003	N/A	1.00	1.76	1.76	10.0	1.75	475	1.66	521	1.82	Base To Base	N/A	0.161	714.500/401.300 Da	N/A	N/A	4.56e-002	1.23e+000	Specify Parameters - MQIII	0.654	1	0	3820.	N/A	1.01	95.5	0.00234	1.00	0.996	
166 031 996183 HQC 2 1	31	Quality Control	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 7:03:47	Sample Manager w/ SO	1	50	Roundwell	5	Run 166\996183-S15-166-031.wiff	1.0	0.00			Itraconazole	ng/mL	39519.5	N/A	1.33e+004	N/A	4000.	1.76	1.77	10.0	1.77	477	1.67	561	1.96	Base To Base	N/A	0.294	N/A	705.200/392.300 Da	N/A	9.86e+000	8.72e+000		N/A	0.0476	0.00e+000	Specify Parameters - MQIII	2.01	Itraconazole-d9	ng/mL	4006.7	N/A	1.53e+003	N/A	1.00	1.75	1.76	10.0	1.75	479	1.67	531	1.86	Base To Base	N/A	0.182	714.500/401.300 Da	N/A	N/A	3.76e-002	0.00e+000	Specify Parameters - MQIII	1.27	1	0	4000.	N/A	1.01	100.0	0.00247	1.00	1.00	
166 032 996183 HQC 3 1	32	Quality Control	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 7:10:20	Sample Manager w/ SO	1	51	Roundwell	5	Run 166\996183-S15-166-032.wiff	1.0	0.00			Itraconazole	ng/mL	45490.9	N/A	1.66e+004	N/A	4000.	1.76	1.78	10.0	1.77	476	1.66	533	1.86	Valley	N/A	0.200	N/A	705.200/392.300 Da	N/A	9.94e+000	1.06e+001		N/A	0.0422	6.05e-002	Specify Parameters - MQIII	0.993	Itraconazole-d9	ng/mL	4576.1	N/A	1.56e+003	N/A	1.00	1.76	1.76	10.0	1.75	476	1.66	530	1.85	Base To Base	N/A	0.189	714.500/401.300 Da	N/A	N/A	4.43e-002	0.00e+000	Specify Parameters - MQIII	1.04	1	0	4030.	N/A	1.00	100.7	0.00248	1.00	1.00	
166 033 996183 HQC 4 1	33	Quality Control	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 7:16:51	Sample Manager w/ SO	1	52	Roundwell	5	Run 166\996183-S15-166-033.wiff	1.0	0.00			Itraconazole	ng/mL	42046.4	N/A	1.39e+004	N/A	4000.	1.76	1.77	10.0	1.76	479	1.67	570	1.99	Base To Base	N/A	0.319	N/A	705.200/392.300 Da	N/A	8.68e+000	7.82e+000		N/A	0.0459	#DIV/0!	Specify Parameters - MQIII	2.59	Itraconazole-d9	ng/mL	4843.5	N/A	1.78e+003	N/A	1.00	1.75	1.76	10.0	1.75	477	1.67	531	1.86	Base To Base	N/A	0.189	714.500/401.300 Da	N/A	N/A	4.21e-002	0.00e+000	Specify Parameters - MQIII	1.34	1	0	3580.	N/A	1.01	89.4	0.00217	1.00	0.995	
166 034 996183 HQC 5 1	34	Quality Control	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 7:23:23	Sample Manager w/ SO	1	53	Roundwell	5	Run 166\996183-S15-166-034.wiff	1.0	0.00			Itraconazole	ng/mL	115270.7	N/A	4.20e+004	N/A	4000.	1.76	1.77	10.0	1.77	469	1.64	589	2.06	Base To Base	N/A	0.420	N/A	705.200/392.300 Da	N/A	9.63e+000	8.12e+000		N/A	0.0444	0.00e+000	Specify Parameters - MQIII	2.46	Itraconazole-d9	ng/mL	11975.1	N/A	5.18e+003	N/A	1.00	1.75	1.76	10.0	1.75	473	1.65	530	1.85	Base To Base	N/A	0.200	714.500/401.300 Da	N/A	N/A	3.23e-002	0.00e+000	Specify Parameters - MQIII	0.974	1	0	3920.	N/A	1.00	97.9	0.00241	1.00	1.00	
166 035 996183 HQC 6 1	35	Quality Control	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 7:29:55	Sample Manager w/ SO	1	54	Roundwell	5	Run 166\996183-S15-166-035.wiff	1.0	0.00			Itraconazole	ng/mL	50676.0	N/A	1.84e+004	N/A	4000.	1.77	1.78	10.0	1.76	477	1.67	576	2.01	Base To Base	N/A	0.347	N/A	705.200/392.300 Da	N/A	8.32e+000	8.28e+000		N/A	0.0426	0.00e+000	Specify Parameters - MQIII	2.53	Itraconazole-d9	ng/mL	6092.3	N/A	2.22e+003	N/A	1.00	1.76	1.76	10.0	1.75	478	1.67	518	1.81	Base To Base	N/A	0.140	714.500/401.300 Da	N/A	N/A	4.41e-002	0.00e+000	Specify Parameters - MQIII	0.654	1	0	3440.	N/A	1.01	86.1	0.00208	1.00	0.992	
166 036 996183 DB 1	36	Unknown	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 7:36:26	Sample Manager w/ SO	1	89	Roundwell	5	Run 166\996183-S15-166-036.wiff	1.0	0.00			Itraconazole	ng/mL	0.0	N/A	0.00e+000	N/A	N/A	0.00	1.78	10.0	0.00	0	0.00	0	0.00	No Peak	N/A	0.00	N/A	705.200/392.300 Da	N/A	#DIV/0!	#DIV/0!		N/A	0.00	0.00e+000	Specify Parameters - MQIII	0.00	Itraconazole-d9	ng/mL	0.0	N/A	0.00e+000	N/A	1.00	0.00	1.76	10.0	0.00	0	0.00	0	0.00	No Peak	N/A	0.00	714.500/401.300 Da	N/A	N/A	0.00e+000	0.00e+000	Specify Parameters - MQIII	0.00		1	#DIV/0!	N/A	0.00	N/A	N/A	0.00	0.00	
166 037 996183 DB 1	37	Unknown	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 7:42:57	Sample Manager w/ SO	1	90	Roundwell	5	Run 166\996183-S15-166-037.wiff	1.0	0.00			Itraconazole	ng/mL	0.0	N/A	0.00e+000	N/A	N/A	0.00	1.78	10.0	0.00	0	0.00	0	0.00	No Peak	N/A	0.00	N/A	705.200/392.300 Da	N/A	#DIV/0!	#DIV/0!		N/A	0.00	0.00e+000	Specify Parameters - MQIII	0.00	Itraconazole-d9	ng/mL	0.0	N/A	0.00e+000	N/A	1.00	0.00	1.76	10.0	0.00	0	0.00	0	0.00	No Peak	N/A	0.00	714.500/401.300 Da	N/A	N/A	0.00e+000	0.00e+000	Specify Parameters - MQIII	0.00		0	#DIV/0!	N/A	0.00	N/A	N/A	0.00	0.00	
166 038 996183 Double Blank 1	38	Unknown	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 7:49:29	Sample Manager w/ SO	1	13	Roundwell	5	Run 166\996183-S15-166-038.wiff	1.0	0.00			Itraconazole	ng/mL	0.0	N/A	0.00e+000	N/A	N/A	0.00	1.78	10.0	0.00	0	0.00	0	0.00	No Peak	N/A	0.00	N/A	705.200/392.300 Da	N/A	#DIV/0!	#DIV/0!		N/A	0.00	0.00e+000	Specify Parameters - MQIII	0.00	Itraconazole-d9	ng/mL	0.0	N/A	0.00e+000	N/A	1.00	0.00	1.76	10.0	0.00	0	0.00	0	0.00	No Peak	N/A	0.00	714.500/401.300 Da	N/A	N/A	0.00e+000	0.00e+000	Specify Parameters - MQIII	0.00		0	#DIV/0!	N/A	0.00	N/A	N/A	0.00	0.00	
166 039 996183 Single Blank 1	39	Unknown	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 7:56:00	Sample Manager w/ SO	1	14	Roundwell	5	Run 166\996183-S15-166-039.wiff	1.0	0.00			Itraconazole	ng/mL	25.2	N/A	3.04e+001	N/A	N/A	1.83	1.78	10.0	1.83	519	1.81	527	1.84	Base To Base	N/A	0.0280	N/A	705.200/392.300 Da	N/A	3.30e-003	1.19e-002		N/A	0.0115	0.00e+000	Specify Parameters - MQIII	0.455	Itraconazole-d9	ng/mL	7656.3	N/A	2.57e+003	N/A	1.00	1.76	1.76	10.0	1.75	480	1.68	533	1.86	Base To Base	N/A	0.186	714.500/401.300 Da	N/A	N/A	4.55e-002	0.00e+000	Specify Parameters - MQIII	1.32		0	1.01	N/A	1.04	N/A	N/A	0.581	1.00	
166 040 996183 J 2 1	40	Standard	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 8:02:32	Sample Manager w/ SO	1	24	Roundwell	5	Run 166\996183-S15-166-040.wiff	1.0	0.00			Itraconazole	ng/mL	52.5	N/A	2.67e+001	N/A	5.00	1.78	1.76	10.0	1.77	494	1.73	518	1.81	Base To Base	N/A	0.0840	N/A	705.200/392.300 Da	N/A	1.03e-002	1.46e-002		N/A	0.0537	0.00e+000	Specify Parameters - MQIII	0.500	Itraconazole-d9	ng/mL	5122.8	N/A	1.83e+003	N/A	1.00	1.74	1.76	10.0	1.75	474	1.66	519	1.81	Valley	N/A	0.158	714.500/401.300 Da	N/A	N/A	4.15e-002	0.00e+000	Specify Parameters - MQIII	0.872	1	0	4.33	N/A	1.02	86.5	0.00205	0.962	0.998	
166 041 996183 I 2 1	41	Standard	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 8:09:03	Sample Manager w/ SO	1	16	Roundwell	5	Run 166\996183-S15-166-041.wiff	1.0	0.00			Itraconazole	ng/mL	361.4	N/A	1.37e+002	N/A	10.0	1.76	1.77	10.0	1.76	491	1.72	522	1.82	Base To Base	N/A	0.109	N/A	705.200/392.300 Da	N/A	2.30e-002	2.53e-002		N/A	0.0447	0.00e+000	Specify Parameters - MQIII	1.41	Itraconazole-d9	ng/mL	15715.7	N/A	5.41e+003	N/A	1.00	1.75	1.76	10.0	1.75	473	1.65	535	1.87	Base To Base	N/A	0.217	714.500/401.300 Da	N/A	N/A	4.95e-002	0.00e+000	Specify Parameters - MQIII	1.35	1	0	10.4	N/A	1.01	104.0	0.00230	0.990	1.00	
166 042 996183 H 2 1	42	Standard	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 8:15:34	Sample Manager w/ SO	1	17	Roundwell	5	Run 166\996183-S15-166-042.wiff	1.0	0.00			Itraconazole	ng/mL	1500.1	N/A	5.57e+002	N/A	50.0	1.76	1.78	10.0	1.77	483	1.69	522	1.82	Base To Base	N/A	0.137	N/A	705.200/392.300 Da	N/A	1.07e-001	1.04e-001		N/A	0.0404	0.00e+000	Specify Parameters - MQIII	0.861	Itraconazole-d9	ng/mL	14047.4	N/A	5.34e+003	N/A	1.00	1.76	1.76	10.0	1.75	471	1.65	541	1.89	Base To Base	N/A	0.245	714.500/401.300 Da	N/A	N/A	4.18e-002	0.00e+000	Specify Parameters - MQIII	1.19	1	0	50.2	N/A	1.00	100.5	0.00214	0.996	1.00	
166 043 996183 G 2 1	43	Standard	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 8:22:06	Sample Manager w/ SO	1	18	Roundwell	5	Run 166\996183-S15-166-043.wiff	1.0	0.00			Itraconazole	ng/mL	1531.8	N/A	5.83e+002	N/A	100.	1.76	1.77	10.0	1.76	482	1.68	518	1.81	Base To Base	N/A	0.126	N/A	705.200/392.300 Da	N/A	1.93e-001	2.14e-001		N/A	0.0394	0.00e+000	Specify Parameters - MQIII	0.568	Itraconazole-d9	ng/mL	7955.6	N/A	2.73e+003	N/A	1.00	1.75	1.76	10.0	1.75	476	1.66	530	1.85	Base To Base	N/A	0.189	714.500/401.300 Da	N/A	N/A	4.47e-002	0.00e+000	Specify Parameters - MQIII	1.22	1	0	90.9	N/A	1.01	90.9	0.00193	0.979	1.00	
166 044 996183 F 2 1	44	Standard	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 8:28:38	Sample Manager w/ SO	1	19	Roundwell	5	Run 166\996183-S15-166-044.wiff	1.0	0.00			Itraconazole	ng/mL	9405.0	N/A	3.09e+003	N/A	500.	1.76	1.77	10.0	1.76	479	1.67	532	1.86	Base To Base	N/A	0.186	N/A	705.200/392.300 Da	N/A	1.15e+000	1.04e+000		N/A	0.0482	0.00e+000	Specify Parameters - MQIII	1.07	Itraconazole-d9	ng/mL	8156.0	N/A	2.97e+003	N/A	1.00	1.75	1.76	10.0	1.75	478	1.67	530	1.85	Base To Base	N/A	0.182	714.500/401.300 Da	N/A	N/A	4.42e-002	6.16e-001	Specify Parameters - MQIII	1.19	1	0	537.	N/A	1.01	107.3	0.00231	1.00	0.999	
166 045 996183 E 2 1	45	Standard	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 8:35:10	Sample Manager w/ SO	1	20	Roundwell	5	Run 166\996183-S15-166-045.wiff	1.0	0.00			Itraconazole	ng/mL	31744.8	N/A	1.25e+004	N/A	1000.	1.76	1.77	10.0	1.76	476	1.66	533	1.86	Valley	N/A	0.200	N/A	705.200/392.300 Da	N/A	2.18e+000	2.15e+000		N/A	0.0392	0.00e+000	Specify Parameters - MQIII	1.04	Itraconazole-d9	ng/mL	14546.0	N/A	5.84e+003	N/A	1.00	1.75	1.76	10.0	1.75	474	1.66	535	1.87	Base To Base	N/A	0.214	714.500/401.300 Da	N/A	N/A	4.21e-002	-2.67e-001	Specify Parameters - MQIII	1.33	1	0	996.	N/A	1.01	99.6	0.00218	1.00	1.00	
166 046 996183 D 2 1	46	Standard	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 8:41:43	Sample Manager w/ SO	1	21	Roundwell	5	Run 166\996183-S15-166-046.wiff	1.0	0.00			Itraconazole	ng/mL	93575.2	N/A	3.22e+004	N/A	2500.	1.77	1.77	10.0	1.77	473	1.65	577	2.02	Base To Base	N/A	0.364	N/A	705.200/392.300 Da	N/A	6.29e+000	6.54e+000		N/A	0.0457	0.00e+000	Specify Parameters - MQIII	2.04	Itraconazole-d9	ng/mL	14874.3	N/A	4.92e+003	N/A	1.00	1.75	1.76	10.0	1.75	478	1.67	553	1.93	Base To Base	N/A	0.263	714.500/401.300 Da	N/A	N/A	4.89e-002	-2.58e-001	Specify Parameters - MQIII	2.23	1	0	2680.	N/A	1.01	107.3	0.00252	1.00	1.00	
166 047 996183 C 2 1	47	Standard	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 8:48:15	Sample Manager w/ SO	1	22	Roundwell	5	Run 166\996183-S15-166-047.wiff	1.0	0.00			Itraconazole	ng/mL	166724.7	N/A	5.54e+004	N/A	4500.	1.77	1.77	10.0	1.76	474	1.66	590	2.06	Base To Base	N/A	0.406	N/A	705.200/392.300 Da	N/A	1.16e+001	1.07e+001		N/A	0.0483	-1.48e-002	Specify Parameters - MQIII	2.57	Itraconazole-d9	ng/mL	14319.7	N/A	5.20e+003	N/A	1.00	1.75	1.76	10.0	1.75	470	1.64	530	1.85	Base To Base	N/A	0.210	714.500/401.300 Da	N/A	N/A	4.40e-002	0.00e+000	Specify Parameters - MQIII	1.00	1	0	4620.	N/A	1.01	102.6	0.00259	1.00	1.00	
166 048 996183 B 2 1	48	Standard	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 8:54:46	Sample Manager w/ SO	1	23	Roundwell	5	Run 166\996183-S15-166-048.wiff	1.0	0.00			Itraconazole	ng/mL	180814.5	N/A	6.58e+004	N/A	5000.	1.77	1.76	10.0	1.76	472	1.65	586	2.05	Base To Base	N/A	0.399	N/A	705.200/392.300 Da	N/A	1.21e+001	1.36e+001		N/A	0.0411	0.00e+000	Specify Parameters - MQIII	2.34	Itraconazole-d9	ng/mL	14991.4	N/A	4.83e+003	N/A	1.00	1.74	1.76	10.0	1.75	475	1.66	542	1.89	Base To Base	N/A	0.235	714.500/401.300 Da	N/A	N/A	4.67e-002	0.00e+000	Specify Parameters - MQIII	1.92	1	0	4760.	N/A	1.02	95.1	0.00241	1.00	1.00	
166 049 996183 DB 1	49	Unknown	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 9:01:18	Sample Manager w/ SO	1	91	Roundwell	5	Run 166\996183-S15-166-049.wiff	1.0	0.00			Itraconazole	ng/mL	0.0	N/A	0.00e+000	N/A	N/A	0.00	1.78	10.0	0.00	0	0.00	0	0.00	No Peak	N/A	0.00	N/A	705.200/392.300 Da	N/A	#DIV/0!	#DIV/0!		N/A	0.00	0.00e+000	Specify Parameters - MQIII	0.00	Itraconazole-d9	ng/mL	0.0	N/A	0.00e+000	N/A	1.00	0.00	1.76	10.0	0.00	0	0.00	0	0.00	No Peak	N/A	0.00	714.500/401.300 Da	N/A	N/A	0.00e+000	0.00e+000	Specify Parameters - MQIII	0.00		1	#DIV/0!	N/A	0.00	N/A	N/A	0.00	0.00	
166 050 996183 DB 1	50	Unknown	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 9:07:48	Sample Manager w/ SO	1	92	Roundwell	5	Run 166\996183-S15-166-050.wiff	1.0	0.00			Itraconazole	ng/mL	0.0	N/A	0.00e+000	N/A	N/A	0.00	1.78	10.0	0.00	0	0.00	0	0.00	No Peak	N/A	0.00	N/A	705.200/392.300 Da	N/A	#DIV/0!	#DIV/0!		N/A	0.00	0.00e+000	Specify Parameters - MQIII	0.00	Itraconazole-d9	ng/mL	0.0	N/A	0.00e+000	N/A	1.00	0.00	1.76	10.0	0.00	0	0.00	0	0.00	No Peak	N/A	0.00	714.500/401.300 Da	N/A	N/A	0.00e+000	0.00e+000	Specify Parameters - MQIII	0.00		1	#DIV/0!	N/A	0.00	N/A	N/A	0.00	0.00	
